gene,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
HSD3B2,2.26,0.07,0.08,-0.37,-0.41,-0.31,-0.58,1.64,1.72,-0.31,-0.23,0.42,-0.33,-0.42,-0.94,-0.74,-1.56
CYP21A2,1.78,0.45,1.17,-0.51,-0.53,-0.4,-0.62,1.48,1.78,-0.33,-0.48,0.29,-0.7,-0.7,-0.35,-0.63,-1.7
TRBC2,-0.24,-0.25,-0.23,-0.24,-0.22,-0.2,-0.24,-0.17,-0.28,3.88,-0.28,-0.16,-0.28,-0.28,-0.28,-0.28,-0.28
CD3E,-0.24,-0.25,-0.23,-0.24,-0.22,-0.23,-0.27,-0.23,-0.24,3.88,-0.27,-0.09,-0.27,-0.27,-0.27,-0.27,-0.27
CD3D,-0.25,-0.26,-0.25,-0.25,-0.27,-0.23,-0.25,-0.23,-0.29,3.87,-0.29,0.06,-0.22,-0.29,-0.29,-0.29,-0.29
TRBC1,-0.27,-0.28,-0.29,-0.27,-0.28,-0.21,-0.28,-0.22,-0.31,3.85,-0.09,-0.31,-0.31,-0.31,0.21,-0.31,-0.31
MS4A1,-0.29,-0.27,-0.24,-0.3,-0.26,-0.19,-0.31,-0.1,-0.31,3.84,-0.31,0.29,-0.31,-0.31,-0.31,-0.31,-0.31
CD8A,-0.26,-0.25,-0.28,-0.27,-0.29,-0.21,-0.26,-0.23,-0.26,3.82,-0.23,0.4,-0.34,-0.34,-0.34,-0.34,-0.34
CD3G,-0.3,-0.3,-0.28,-0.26,-0.29,-0.28,-0.28,-0.28,-0.26,3.81,-0.36,0.42,-0.2,-0.02,-0.36,-0.36,-0.36
S100A4,-0.52,-0.45,-0.42,-0.52,-0.5,0.44,-0.25,-0.52,-0.45,2.67,-0.32,-0.22,0.17,2.39,-0.74,-0.04,-0.74
CCL21,-0.27,-0.24,-0.27,-0.18,-0.24,-0.26,-0.24,-0.27,-0.24,-0.23,3.88,-0.26,-0.28,-0.22,-0.11,-0.23,-0.34
PDPN,-0.42,-0.45,-0.44,-0.41,-0.35,-0.42,1.38,-0.38,-0.41,-0.42,3.46,0.21,-0.4,-0.32,0.06,-0.14,-0.54
EFNA5,-0.62,-0.31,-0.67,-0.51,-0.37,-0.62,1.73,-0.69,0.47,-0.58,2.98,0.04,-0.26,0.24,-0.65,0.53,-0.74
PROX1,0.52,0.03,1.16,-0.63,-0.63,-0.57,-0.68,0.88,0.94,-0.6,2.92,-0.34,-0.77,-0.78,-0.33,-0.2,-0.9
NT5E,-0.5,-0.5,-0.37,1.79,-0.44,-0.48,2.09,-0.54,-0.55,-0.33,2.19,0.41,-0.2,-0.65,-0.65,-0.65,-0.65
TH,-0.23,-0.27,-0.22,-0.15,-0.14,-0.23,-0.26,-0.12,-0.18,-0.29,-0.29,3.87,-0.29,-0.29,-0.29,-0.29,-0.29
CHGA,-0.25,-0.27,-0.17,-0.25,-0.24,-0.09,-0.29,-0.12,-0.25,-0.13,-0.39,3.84,-0.39,0.15,-0.39,-0.39,-0.39
SLC4A1,-0.14,-0.19,-0.2,-0.16,-0.19,-0.04,-0.29,-0.34,-0.26,-0.35,0.28,3.81,-0.47,-0.04,-0.47,-0.47,-0.47
GYPA,-0.1,-0.07,-0.1,-0.3,0.1,-0.29,0.38,0.05,0.21,-0.51,-0.51,3.71,-0.51,-0.51,-0.51,-0.51,-0.51
IL5RA,-0.28,-0.38,-0.31,-0.23,-0.31,-0.14,-0.2,-0.37,-0.3,0.01,-0.48,3.64,-0.22,-0.48,1.01,-0.48,-0.48
HBB,-0.05,-0.45,1.45,0.36,-0.09,-0.07,-0.54,-0.74,-0.7,0.15,-0.63,3.23,-0.36,-0.49,-0.5,0.27,-0.83
FAP,-0.63,-0.68,-0.61,0.31,-0.43,-0.31,0.15,-0.68,0.98,-0.53,-0.46,3.04,-0.4,0.87,1,-0.81,-0.81
CCR3,-0.47,-0.54,-0.5,-0.47,-0.24,1.91,-0.53,-0.5,-0.32,0.54,-0.4,2.95,-0.14,-0.62,0.56,-0.62,-0.62
CHGB,0.25,1.14,0.2,-0.44,-0.62,-0.38,-0.71,0.05,1.33,-0.43,-0.64,2.88,-0.02,-0.16,-1.15,-0.13,-1.15
TNC,-0.43,-0.44,-0.45,-0.02,2.32,0.18,0.63,-0.45,-0.47,-0.38,-0.54,2.68,-0.33,-0.32,-0.54,-0.72,-0.72
ALAS2,-0.32,-0.29,-0.34,0.27,0.05,0.32,0.27,0.05,-0.9,1.08,2.11,2.22,-0.9,-0.9,-0.9,-0.9,-0.9
NES,-0.5,-0.47,-0.51,0.7,0.67,-0.48,-0.42,-0.5,-0.5,-0.53,-0.32,-0.5,3.14,1.5,-0.15,-0.57,-0.57
MGP,-0.38,-0.37,-0.15,0.42,0.84,-0.42,2.05,-0.48,-0.57,-0.56,-0.33,-0.2,2.68,-0.08,-0.52,-0.75,-1.17
CD34,-0.5,-0.51,-0.51,2.42,-0.18,-0.5,0.74,-0.52,-0.49,-0.51,0.31,-0.28,2.55,-0.6,-0.29,-0.48,-0.64
PECAM1,-0.56,-0.52,-0.74,1.34,-0.71,0.16,-0.64,-0.71,-0.17,-0.52,0.37,-0.35,2.55,-0.67,0.03,-0.75,1.9
CDH5,-0.51,-0.52,-0.5,2.06,-0.47,-0.49,0.12,-0.46,-0.52,-0.5,1.73,-0.3,2.37,-0.5,-0.6,-0.32,-0.6
NCAM1,0.53,1.49,-0.68,-0.72,-0.63,-0.65,-0.55,0.75,0.34,-0.49,-0.47,-0.16,-0.64,3,-0.75,-0.49,0.13
MZB1,-0.25,-0.25,-0.25,-0.25,-0.24,-0.25,-0.25,-0.24,-0.24,-0.19,-0.25,-0.21,-0.25,-0.25,3.88,-0.25,-0.25
IGHG1,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.24,-0.23,-0.25,-0.23,-0.25,-0.24,-0.26,-0.26,3.88,-0.17,-0.26
IGHA1,-0.25,-0.25,-0.25,-0.25,-0.24,-0.25,-0.24,-0.23,-0.23,-0.16,-0.25,-0.24,-0.24,-0.27,3.88,-0.27,-0.27
CD19,-0.27,-0.28,-0.29,-0.23,-0.1,-0.08,-0.24,-0.29,-0.33,-0.03,-0.07,-0.33,-0.33,-0.33,3.86,-0.33,-0.33
CD79A,-0.27,-0.28,-0.27,-0.26,-0.28,-0.25,-0.29,-0.29,-0.29,0.3,-0.29,-0.21,-0.29,-0.29,3.84,-0.29,-0.29
SDC1,-0.05,-0.24,0.33,-0.32,-0.32,-0.33,-0.34,0.2,-0.32,-0.27,-0.24,0.04,-0.4,-0.5,3.77,-0.5,-0.5
CD38,-0.46,-0.46,-0.45,-0.02,0.46,0.48,-0.41,-0.45,-0.47,-0.04,-0.28,-0.22,-0.42,-0.51,3.67,0.1,-0.51
